#########################################################################################################
# Evolutionary tracks from the Steam Worlds Evolution model (Aguichine+2024)
# 
# Model summary:
# Earth-like core (32.5% iron-sulfur alloy, 67.5% mantle with Earth-like Fe/Si ratio)
# Pure H2O envelope and pure H2O atmosphere connected at P_b = 1000 bar
# 
# Parameters:
# ST: Stellar Type (M or G), for radiative transfer in the atmosphere
# WMF: Water Mass Fraction, between 0.001 and 1
# T_eq: Equilibrium temperature (K), between 500 K and 700 K
# M_p: Planet mass (M_e), between 0.2 M_E and 20.0 M_E
# Age: Host star age (Gyr), between 0.01 Gyr and 20 Gyr, assuming the planet formed at t_0 = 10 Myr (can be adjusted)
# 
# Model outputs:
# R_p: Planet radius (R_E) at 20 mbar
# R_b: Planet radius (R_E) at 1000 bar
# T_b: Temperature (K) at 1000 bar)
# T_int: Intrinsic temperature (K), nominal values are between 10 K and 400 K
# s_env: Specific entropy of H2O in the envelope (in J/K/kg)
# 
# Sources of energy for the cooling, expressed as luminosities (in W):
# L_env: energy from the H2O envelope (thermal + gravitational)
# L_rad: radiogenic heat produced in the core
# L_core: thermal energy of the core
# L_grav: gravitational energy of the core
# 
# By construction:
# L_env + L_rad + L_core + L_grav = (4 * Pi * R_p**2) * (sigma_SB * T_int**4)
# 
# NB: The last line of each track represents an estimate of the time until "full exhaustion".
#########################################################################################################


#ST    WMF    T_eq          M_p       Age       R_p       R_b       T_b     T_int           s_env         L_env         L_rad        L_core        L_grav
M   0.0010   500.0   0.20000000    0.0100   0.87647   0.63489   6563.86    889.73   2.6877500e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   0.20000000    0.0101   0.80210   0.62552   3645.76    347.45   2.7006688e+00   2.64323e+15   5.36524e+13   1.64115e+17   2.18535e+14
M   0.0010   500.0   0.20000000    0.0105   0.78385   0.62220   2963.42    220.01   2.7052984e+00   4.20805e+14   5.36409e+13   2.61273e+16   3.47910e+13
M   0.0010   500.0   0.20000000    0.0110   0.77842   0.62102   2714.91    178.40   2.7069443e+00   1.80509e+14   5.36264e+13   1.12076e+16   1.49240e+13
M   0.0010   500.0   0.20000000    0.0120   0.77445   0.62004   2492.51    144.46   2.7083218e+00   7.69839e+13   5.35981e+13   4.77984e+15   6.36483e+12
M   0.0010   500.0   0.20000000    0.0150   0.76969   0.61894   2260.32    110.37   2.7098613e+00   2.55917e+13   5.35125e+13   1.58896e+15   2.11585e+12
M   0.0010   500.0   0.20000000    0.0200   0.76640   0.61820   2108.60     91.38   2.7109061e+00   1.15557e+13   5.33697e+13   7.17481e+14   9.55397e+11
M   0.0010   500.0   0.20000000    0.0300   0.76420   0.61755   1972.06     75.93   2.7118127e+00   5.05446e+12   5.30866e+13   3.13825e+14   4.17889e+11
M   0.0010   500.0   0.20000000    0.0500   0.76273   0.61700   1855.59     63.97   2.7125894e+00   2.13538e+12   5.25271e+13   1.32583e+14   1.76547e+11
M   0.0010   500.0   0.20000000    0.1000   0.76162   0.61647   1750.93     54.27   2.7133183e+00   7.23299e+11   5.11620e+13   4.49088e+13   5.98005e+10
M   0.0010   500.0   0.20000000    0.2000   0.76100   0.61615   1685.66     48.62   2.7137845e+00   2.17337e+11   4.85803e+13   1.34942e+13   1.79688e+10
M   0.0010   500.0   0.20000000    0.5000   0.76059   0.61590   1637.81     44.83   2.7141231e+00   5.25182e+10   4.17396e+13   3.26079e+12   4.34207e+09
M   0.0010   500.0   0.20000000    1.0000   0.76027   0.61572   1601.25     41.94   2.7143857e+00   3.98843e+10   3.19880e+13   2.47637e+12   3.29753e+09
M   0.0010   500.0   0.20000000    2.0000   0.75972   0.61537   1535.70     37.12   2.7148748e+00   3.97642e+10   1.86320e+13   2.46891e+12   3.28760e+09
M   0.0010   500.0   0.20000000    5.0000   0.75842   0.61453   1381.11     26.23   2.7160675e+00   2.48198e+10   3.71150e+12   1.54103e+12   2.05204e+09
M   0.0010   500.0   0.20000000   10.0000   0.75740   0.61384   1266.06     16.02   2.7170396e+00   7.85736e+09   2.67834e+11   4.87855e+11   6.49626e+08
M   0.0010   500.0   0.20000000   20.0000   0.75696   0.61354   1224.49     10.00   2.7174600e+00   1.09343e+03   1.85578e+09   6.78897e+04   9.04018e+01
M   0.0010   500.0   0.20000000  1.07e+02   0.75633   0.61290   1155.62      0.00   2.7174600e+00   0.00000e+00   6.34059e+08   0.00000e+00   0.00000e+00

M   0.0010   500.0   0.25485500    0.0100   0.89979   0.68111   6563.86    908.02   2.7319800e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   0.25485500    0.0101   0.83137   0.67110   3645.76    355.83   2.7448488e+00   3.32481e+15   6.83679e+13   2.07735e+17   3.43810e+14
M   0.0010   500.0   0.25485500    0.0105   0.81403   0.66755   2963.31    226.08   2.7494493e+00   5.36526e+14   6.83534e+13   3.35223e+16   5.54807e+13
M   0.0010   500.0   0.25485500    0.0110   0.80867   0.66626   2722.90    183.97   2.7511343e+00   2.33411e+14   6.83349e+13   1.45835e+16   2.41364e+13
M   0.0010   500.0   0.25485500    0.0120   0.80476   0.66515   2499.74    149.39   2.7525797e+00   1.00693e+14   6.82984e+13   6.29130e+15   1.04124e+13
M   0.0010   500.0   0.25485500    0.0150   0.80031   0.66392   2265.42    113.93   2.7541799e+00   3.32384e+13   6.81893e+13   2.07674e+15   3.43709e+12
M   0.0010   500.0   0.25485500    0.0200   0.79710   0.66314   2109.90     93.92   2.7552074e+00   1.47455e+13   6.80086e+13   9.21301e+14   1.52479e+12
M   0.0010   500.0   0.25485500    0.0300   0.79489   0.66245   1967.32     77.33   2.7561043e+00   6.18658e+12   6.76487e+13   3.86539e+14   6.39737e+11
M   0.0010   500.0   0.25485500    0.0500   0.79347   0.66186   1857.46     65.79   2.7568882e+00   2.74169e+12   6.69330e+13   1.71301e+14   2.83511e+11
M   0.0010   500.0   0.25485500    0.1000   0.79234   0.66128   1758.00     56.28   2.7576403e+00   1.00242e+12   6.52025e+13   6.26315e+13   1.03658e+11
M   0.0010   500.0   0.25485500    0.2000   0.79160   0.66085   1694.91     50.60   2.7582012e+00   3.50849e+11   6.19066e+13   2.19211e+13   3.62804e+10
M   0.0010   500.0   0.25485500    0.5000   0.79112   0.66057   1637.26     45.91   2.7585768e+00   6.01565e+10   5.31567e+13   3.75859e+12   6.22062e+09
M   0.0010   500.0   0.25485500    1.0000   0.79084   0.66040   1600.11     42.93   2.7588033e+00   4.45787e+10   4.07490e+13   2.78528e+12   4.60976e+09
M   0.0010   500.0   0.25485500    2.0000   0.79030   0.66006   1537.35     38.13   2.7592545e+00   5.19012e+10   2.37630e+13   3.24280e+12   5.36696e+09
M   0.0010   500.0   0.25485500    5.0000   0.78886   0.65909   1382.86     26.94   2.7605272e+00   3.18597e+10   4.72888e+12   1.99060e+12   3.29453e+09
M   0.0010   500.0   0.25485500   10.0000   0.78781   0.65836   1264.03     15.83   2.7614878e+00   7.94415e+09   3.39543e+11   4.96352e+11   8.21483e+08
M   0.0010   500.0   0.25485500   20.0000   0.78750   0.65814   1227.43     10.00   2.7617700e+00   4.32811e+02   6.39145e+09   2.70421e+04   4.47559e+01
M   0.0010   500.0   0.25485500  1.35e+02   0.78669   0.65733   1164.93      0.00   2.7617700e+00   0.00000e+00   8.07966e+08   0.00000e+00   0.00000e+00

M   0.0010   500.0   0.32475535    0.0100   0.92767   0.73054   6563.86    926.85   2.7763900e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   0.32475535    0.0101   0.86386   0.71990   3657.45    366.82   2.7891388e+00   4.17886e+15   8.71196e+13   2.73151e+17  -2.62498e+15
M   0.0010   500.0   0.32475535    0.0105   0.84720   0.71605   2963.31    232.42   2.7937892e+00   6.66886e+14   8.71009e+13   4.35910e+16  -4.18909e+14
M   0.0010   500.0   0.32475535    0.0110   0.84196   0.71466   2730.92    189.74   2.7954743e+00   2.93860e+14   8.70775e+13   1.92082e+16  -1.84590e+14
M   0.0010   500.0   0.32475535    0.0120   0.83814   0.71346   2505.54    154.27   2.7969497e+00   1.27412e+14   8.70309e+13   8.32831e+15  -8.00350e+13
M   0.0010   500.0   0.32475535    0.0150   0.83398   0.71211   2270.91    117.66   2.7985861e+00   4.20876e+13   8.68921e+13   2.75106e+15  -2.64376e+13
M   0.0010   500.0   0.32475535    0.0200   0.83085   0.71125   2112.62     96.71   2.7996341e+00   1.84583e+13   8.66615e+13   1.20653e+15  -1.15947e+13
M   0.0010   500.0   0.32475535    0.0300   0.82875   0.71048   1979.09     80.63   2.8005750e+00   8.22997e+12   8.62013e+13   5.37951e+14  -5.16971e+12
M   0.0010   500.0   0.32475535    0.0500   0.82734   0.70983   1860.01     67.73   2.8013687e+00   3.44286e+12   8.52955e+13   2.25042e+14  -2.16266e+12
M   0.0010   500.0   0.32475535    0.1000   0.82622   0.70919   1757.43     57.65   2.8021587e+00   1.21983e+12   8.30683e+13   7.97340e+13  -7.66244e+11
M   0.0010   500.0   0.32475535    0.2000   0.82556   0.70878   1687.49     51.28   2.8026538e+00   3.53986e+11   7.88828e+13   2.31383e+13  -2.22359e+11
M   0.0010   500.0   0.32475535    0.5000   0.82513   0.70850   1639.09     47.21   2.8029997e+00   8.37496e+10   6.77521e+13   5.47429e+12  -5.26080e+10
M   0.0010   500.0   0.32475535    1.0000   0.82482   0.70828   1601.52     44.16   2.8032638e+00   6.33824e+10   5.19198e+13   4.14299e+12  -3.98141e+10
M   0.0010   500.0   0.32475535    2.0000   0.82426   0.70789   1537.97     39.10   2.8037435e+00   6.24679e+10   3.03095e+13   4.08321e+12  -3.92397e+10
M   0.0010   500.0   0.32475535    5.0000   0.82282   0.70683   1383.26     27.60   2.8050441e+00   3.87734e+10   6.02267e+12   2.53442e+12  -2.43558e+10
M   0.0010   500.0   0.32475535   10.0000   0.82181   0.70608   1266.41     16.38   2.8059665e+00   1.03843e+10   4.35590e+11   6.78769e+11  -6.52297e+09
M   0.0010   500.0   0.32475535   20.0000   0.82148   0.70583   1230.35     10.00   2.8062800e+00   6.73579e+02   5.58982e+09   4.40285e+04  -4.23114e+02
M   0.0010   500.0   0.32475535  1.70e+02   0.82052   0.70487   1174.00      0.00   2.8062800e+00   0.00000e+00   1.02957e+09   0.00000e+00   0.00000e+00

M   0.0010   500.0   0.41382762    0.0100   0.96055   0.78311   6563.86    946.19   2.8213000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   0.41382762    0.0101   0.90208   0.77202   3657.45    375.66   2.8336888e+00   5.13103e+15   1.11014e+14   3.46231e+17  -3.87051e+15
M   0.0010   500.0   0.41382762    0.0105   0.88656   0.76798   2958.88    237.92   2.8382442e+00   8.17518e+14   1.10990e+14   5.51644e+16  -6.16681e+14
M   0.0010   500.0   0.41382762    0.0110   0.88160   0.76653   2734.94    194.89   2.8398893e+00   3.65218e+14   1.10960e+14   2.46441e+16  -2.75496e+14
M   0.0010   500.0   0.41382762    0.0120   0.87805   0.76524   2515.73    159.87   2.8413497e+00   1.64155e+14   1.10902e+14   1.10768e+16  -1.23827e+14
M   0.0010   500.0   0.41382762    0.0150   0.87411   0.76375   2281.03    122.34   2.8430399e+00   5.51511e+13   1.10725e+14   3.72148e+15  -4.16023e+13
M   0.0010   500.0   0.41382762    0.0200   0.87110   0.76279   2118.43     99.90   2.8441306e+00   2.35161e+13   1.10430e+14   1.58682e+15  -1.77390e+13
M   0.0010   500.0   0.41382762    0.0300   0.86905   0.76196   1984.70     83.42   2.8450800e+00   1.05769e+13   1.09844e+14   7.13709e+14  -7.97853e+12
M   0.0010   500.0   0.41382762    0.0500   0.86756   0.76124   1861.73     69.59   2.8458956e+00   4.29248e+12   1.08688e+14   2.89647e+14  -3.23796e+12
M   0.0010   500.0   0.41382762    0.1000   0.86642   0.76056   1762.03     59.50   2.8466777e+00   1.58174e+12   1.05862e+14   1.06733e+14  -1.19316e+12
M   0.0010   500.0   0.41382762    0.2000   0.86569   0.76008   1693.57     53.18   2.8472325e+00   5.23239e+11   1.00505e+14   3.53071e+13  -3.94697e+11
M   0.0010   500.0   0.41382762    0.5000   0.86517   0.75972   1641.17     48.53   2.8476315e+00   1.15617e+11   8.62292e+13   7.80157e+12  -8.72135e+10
M   0.0010   500.0   0.41382762    1.0000   0.86483   0.75948   1602.37     45.34   2.8479081e+00   8.11016e+10   6.61482e+13   5.47256e+12  -6.11776e+10
M   0.0010   500.0   0.41382762    2.0000   0.86424   0.75907   1537.63     40.01   2.8483825e+00   7.15609e+10   3.86141e+13   4.82878e+12  -5.39808e+10
M   0.0010   500.0   0.41382762    5.0000   0.86283   0.75800   1384.94     28.39   2.8496107e+00   4.94770e+10   7.68226e+12   3.33860e+12  -3.73221e+10
M   0.0010   500.0   0.41382762   10.0000   0.86173   0.75716   1269.63     17.11   2.8505678e+00   1.45682e+10   5.54168e+11   9.83029e+11  -1.09892e+10
M   0.0010   500.0   0.41382762   20.0000   0.86134   0.75686   1233.12     10.00   2.8509100e+00   1.19776e+03   4.87685e+09   8.08226e+04  -9.03513e+02
M   0.0010   500.0   0.41382762  2.08e+02   0.86024   0.75575   1182.02      0.00   2.8509100e+00   0.00000e+00   1.31196e+09   0.00000e+00   0.00000e+00

M   0.0010   500.0   0.52733018    0.0100   0.99994   0.83967   6563.86    965.66   2.8659900e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   0.52733018    0.0101   0.94530   0.82788   3692.82    391.88   2.8782689e+00   6.59286e+15   1.41463e+14   4.70202e+17  -3.63679e+15
M   0.0010   500.0   0.52733018    0.0105   0.93008   0.82344   2976.68    248.11   2.8829442e+00   1.04881e+15   1.41432e+14   7.48007e+16  -5.78547e+14
M   0.0010   500.0   0.52733018    0.0110   0.92511   0.82184   2753.77    203.27   2.8846261e+00   4.70372e+14   1.41395e+14   3.35468e+16  -2.59469e+14
M   0.0010   500.0   0.52733018    0.0120   0.92144   0.82046   2520.11    164.72   2.8860997e+00   2.00668e+14   1.41319e+14   1.43116e+16  -1.10693e+14
M   0.0010   500.0   0.52733018    0.0150   0.91759   0.81892   2276.09    125.09   2.8877177e+00   6.53657e+13   1.41094e+14   4.66187e+15  -3.60573e+13
M   0.0010   500.0   0.52733018    0.0200   0.91495   0.81793   2129.30    104.01   2.8887687e+00   3.00987e+13   1.40719e+14   2.14663e+15  -1.66032e+13
M   0.0010   500.0   0.52733018    0.0300   0.91285   0.81704   1987.61     85.94   2.8897193e+00   1.29616e+13   1.39972e+14   9.24419e+14  -7.14993e+12
M   0.0010   500.0   0.52733018    0.0500   0.91140   0.81625   1881.15     73.61   2.8905631e+00   6.08477e+12   1.38501e+14   4.33965e+14  -3.35651e+12
M   0.0010   500.0   0.52733018    0.1000   0.91008   0.81543   1766.02     61.48   2.8914255e+00   2.01215e+12   1.34880e+14   1.43506e+14  -1.10995e+12
M   0.0010   500.0   0.52733018    0.2000   0.90934   0.81494   1692.22     54.45   2.8919529e+00   6.07173e+11   1.28056e+14   4.33035e+13  -3.34931e+11
M   0.0010   500.0   0.52733018    0.5000   0.90884   0.81459   1642.02     49.79   2.8923241e+00   1.36789e+11   1.10095e+14   9.75575e+12  -7.54560e+10
M   0.0010   500.0   0.52733018    1.0000   0.90846   0.81432   1604.62     46.66   2.8926230e+00   1.13750e+11   8.42842e+13   8.11266e+12  -6.27475e+10
M   0.0010   500.0   0.52733018    2.0000   0.90779   0.81382   1539.63     41.24   2.8931484e+00   1.00093e+11   4.91904e+13   7.13861e+12  -5.52137e+10
M   0.0010   500.0   0.52733018    5.0000   0.90635   0.81272   1385.81     29.20   2.8943238e+00   6.12700e+10   9.80574e+12   4.36977e+12  -3.37981e+10
M   0.0010   500.0   0.52733018   10.0000   0.90517   0.81180   1271.62     17.75   2.8953101e+00   1.90327e+10   6.93133e+11   1.35741e+12  -1.04989e+10
M   0.0010   500.0   0.52733018   20.0000   0.90481   0.81151   1235.90     10.00   2.8956100e+00   9.25387e+02   8.98293e+09   6.59984e+04  -5.10466e+02
M   0.0010   500.0   0.52733018  2.63e+02   0.90353   0.81024   1190.06      0.00   2.8956100e+00   0.00000e+00   1.67179e+09   0.00000e+00   0.00000e+00

M   0.0010   500.0   0.67196366    0.0100   1.04302   0.89945   6563.86    986.01   2.9115100e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   0.67196366    0.0101   0.99285   0.88729   3692.82    401.34   2.9233389e+00   7.99189e+15   1.80262e+14   5.97234e+17  -7.36912e+15
M   0.0010   500.0   0.67196366    0.0105   0.97881   0.88274   2981.15    255.79   2.9277993e+00   1.30621e+15   1.80224e+14   9.76131e+16  -1.20442e+15
M   0.0010   500.0   0.67196366    0.0110   0.97409   0.88106   2753.77    209.21   2.9294495e+00   5.81911e+14   1.80176e+14   4.34862e+16  -5.36565e+14
M   0.0010   500.0   0.67196366    0.0120   0.97052   0.87960   2530.37    170.60   2.9309038e+00   2.54650e+14   1.80079e+14   1.90300e+16  -2.34806e+14
M   0.0010   500.0   0.67196366    0.0150   0.96682   0.87794   2284.95    130.15   2.9325399e+00   8.45400e+13   1.79792e+14   6.31768e+15  -7.79522e+13
M   0.0010   500.0   0.67196366    0.0200   0.96433   0.87688   2135.50    107.56   2.9335948e+00   3.80175e+13   1.79315e+14   2.84105e+15  -3.50550e+13
M   0.0010   500.0   0.67196366    0.0300   0.96228   0.87587   2006.55     90.49   2.9345854e+00   1.78304e+13   1.78363e+14   1.33246e+15  -1.64409e+13
M   0.0010   500.0   0.67196366    0.0500   0.96073   0.87499   1880.10     75.42   2.9354597e+00   7.36959e+12   1.76473e+14   5.50730e+14  -6.79531e+12
M   0.0010   500.0   0.67196366    0.1000   0.95951   0.87419   1764.75     62.97   2.9362543e+00   2.42421e+12   1.71884e+14   1.81161e+14  -2.23531e+12
M   0.0010   500.0   0.67196366    0.2000   0.95880   0.87368   1693.87     56.00   2.9367625e+00   7.67962e+11   1.63184e+14   5.73898e+13  -7.08118e+11
M   0.0010   500.0   0.67196366    0.5000   0.95829   0.87330   1642.43     51.14   2.9371430e+00   1.77766e+11   1.40189e+14   1.32844e+13  -1.63913e+11
M   0.0010   500.0   0.67196366    1.0000   0.95792   0.87301   1605.97     47.93   2.9374320e+00   1.44353e+11   1.07425e+14   1.07875e+13  -1.33104e+11
M   0.0010   500.0   0.67196366    2.0000   0.95724   0.87247   1540.70     42.39   2.9379679e+00   1.29077e+11   6.26828e+13   9.64593e+12  -1.19019e+11
M   0.0010   500.0   0.67196366    5.0000   0.95576   0.87127   1387.98     30.13   2.9391566e+00   8.00878e+10   1.24731e+13   5.98496e+12  -7.38469e+10
M   0.0010   500.0   0.67196366   10.0000   0.95461   0.87032   1274.29     18.58   2.9401064e+00   2.63581e+10   8.86738e+11   1.96974e+12  -2.43042e+10
M   0.0010   500.0   0.67196366   20.0000   0.95421   0.86999   1238.51     10.00   2.9404400e+00   1.58201e+03   8.26518e+09   1.18224e+05  -1.45874e+03
M   0.0010   500.0   0.67196366  3.28e+02   0.95265   0.86843   1197.04      0.00   2.9404400e+00   0.00000e+00   2.13032e+09   0.00000e+00   0.00000e+00

M   0.0010   500.0   0.85626648    0.0100   1.09281   0.96314   6563.86   1006.58   2.9573600e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   0.85626648    0.0101   1.04578   0.95065   3704.71    413.50   2.9686889e+00   1.00029e+16   2.29704e+14   7.64366e+17  -1.08018e+15
M   0.0010   500.0   0.85626648    0.0105   1.03221   0.94589   2981.26    262.81   2.9730486e+00   1.61698e+15   2.29654e+14   1.23561e+17  -1.74612e+14
M   0.0010   500.0   0.85626648    0.0110   1.02772   0.94417   2755.16    215.63   2.9746292e+00   7.29698e+14   2.29593e+14   5.57596e+16  -7.87976e+13
M   0.0010   500.0   0.85626648    0.0120   1.02421   0.94263   2542.14    176.90   2.9760497e+00   3.27205e+14   2.29471e+14   2.50032e+16  -3.53337e+13
M   0.0010   500.0   0.85626648    0.0150   1.02053   0.94084   2295.26    135.59   2.9777071e+00   1.10844e+14   2.29104e+14   8.47014e+15  -1.19697e+13
M   0.0010   500.0   0.85626648    0.0200   1.01810   0.93968   2143.60    111.53   2.9787746e+00   4.89923e+13   2.28495e+14   3.74373e+15  -5.29051e+12
M   0.0010   500.0   0.85626648    0.0300   1.01608   0.93869   2000.72     92.15   2.9796931e+00   2.12192e+13   2.27287e+14   1.62146e+15  -2.29139e+12
M   0.0010   500.0   0.85626648    0.0500   1.01459   0.93778   1883.94     77.81   2.9805274e+00   9.34132e+12   2.24877e+14   7.13814e+14  -1.00874e+12
M   0.0010   500.0   0.85626648    0.1000   1.01335   0.93694   1769.01     65.07   2.9813115e+00   3.15312e+12   2.19028e+14   2.40944e+14  -3.40494e+11
M   0.0010   500.0   0.85626648    0.2000   1.01259   0.93638   1697.20     57.75   2.9818314e+00   1.01621e+12   2.07928e+14   7.76535e+13  -1.09737e+11
M   0.0010   500.0   0.85626648    0.5000   1.01203   0.93595   1643.36     52.60   2.9822268e+00   2.42243e+11   1.78531e+14   1.85109e+13  -2.61590e+10
M   0.0010   500.0   0.85626648    1.0000   1.01165   0.93565   1606.89     49.20   2.9825138e+00   1.77179e+11   1.37050e+14   1.35391e+13  -1.91330e+10
M   0.0010   500.0   0.85626648    2.0000   1.01093   0.93506   1541.97     43.60   2.9830521e+00   1.69110e+11   7.98706e+13   1.29225e+13  -1.82616e+10
M   0.0010   500.0   0.85626648    5.0000   1.00942   0.93381   1388.08     30.84   2.9842058e+00   9.54353e+10   1.58938e+13   7.29266e+12  -1.03057e+10
M   0.0010   500.0   0.85626648   10.0000   1.00820   0.93280   1278.91     20.02   2.9851557e+00   3.98324e+10   1.11382e+12   3.04378e+12  -4.30137e+09
M   0.0010   500.0   0.85626648   20.0000   1.00782   0.93248   1241.12     10.00   2.9854500e+00   3.93291e+03   6.28088e+09   3.00532e+05  -4.24701e+02
M   0.0010   500.0   0.85626648  4.21e+02   1.00615   0.93081   1203.94      0.00   2.9854500e+00   0.00000e+00   2.71462e+09   0.00000e+00   0.00000e+00

M   0.0010   500.0   1.09111896    0.0100   1.14666   1.03095   6563.86   1027.99   3.0035200e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   1.09111896    0.0101   1.10365   1.01826   3728.65    428.61   3.0142690e+00   1.26083e+16   2.92706e+14   9.97128e+17   1.42723e+16
M   0.0010   500.0   1.09111896    0.0105   1.09081   1.01332   2994.63    272.84   3.0184993e+00   2.05170e+15   2.92643e+14   1.62259e+17   2.32248e+15
M   0.0010   500.0   1.09111896    0.0110   1.08651   1.01152   2763.30    223.66   3.0200492e+00   9.22704e+14   2.92565e+14   7.29721e+16   1.04448e+15
M   0.0010   500.0   1.09111896    0.0120   1.08305   1.00991   2555.48    183.61   3.0214297e+00   4.14959e+14   2.92409e+14   3.28171e+16   4.69724e+14
M   0.0010   500.0   1.09111896    0.0150   1.07949   1.00802   2306.20    141.27   3.0230507e+00   1.42866e+14   2.91941e+14   1.12985e+16   1.61721e+14
M   0.0010   500.0   1.09111896    0.0200   1.07720   1.00680   2154.00    116.03   3.0241066e+00   6.28874e+13   2.91166e+14   4.97346e+15   7.11872e+13
M   0.0010   500.0   1.09111896    0.0300   1.07519   1.00572   2009.43     95.76   3.0250350e+00   2.72079e+13   2.89627e+14   2.15174e+15   3.07987e+13
M   0.0010   500.0   1.09111896    0.0500   1.07369   1.00476   1896.58     81.36   3.0258726e+00   1.24857e+13   2.86564e+14   9.87433e+14   1.41335e+13
M   0.0010   500.0   1.09111896    0.1000   1.07239   1.00382   1777.91     67.72   3.0266850e+00   4.22957e+12   2.79095e+14   3.34496e+14   4.78779e+12
M   0.0010   500.0   1.09111896    0.2000   1.07157   1.00319   1702.46     59.71   3.0272283e+00   1.36868e+12   2.64873e+14   1.08242e+14   1.54932e+12
M   0.0010   500.0   1.09111896    0.5000   1.07102   1.00274   1643.06     53.96   3.0276188e+00   2.86414e+11   2.27407e+14   2.26511e+13   3.24214e+11
M   0.0010   500.0   1.09111896    1.0000   1.07067   1.00246   1605.83     50.35   3.0278649e+00   1.91549e+11   1.74583e+14   1.51487e+13   2.16829e+11
M   0.0010   500.0   1.09111896    2.0000   1.07002   1.00191   1542.14     44.72   3.0283445e+00   2.01648e+11   1.01764e+14   1.59473e+13   2.28261e+11
M   0.0010   500.0   1.09111896    5.0000   1.06851   1.00060   1391.97     31.86   3.0294751e+00   1.25310e+11   2.02636e+13   9.91013e+12   1.41848e+11
M   0.0010   500.0   1.09111896   10.0000   1.06724   0.99949   1285.47     20.88   3.0304375e+00   5.25944e+10   1.42452e+12   4.15943e+12   5.95357e+10
M   0.0010   500.0   1.09111896   20.0000   1.06688   0.99918   1243.62     10.00   3.0307100e+00   1.12935e+03   1.99105e+10   8.93145e+04   1.27840e+03
M   0.0010   500.0   1.09111896  5.32e+02   1.06509   0.99739   1210.15      0.00   3.0307100e+00   0.00000e+00   3.45917e+09   0.00000e+00   0.00000e+00

M   0.0010   500.0   1.39038559    0.0100   1.20745   1.10295   6563.86   1049.47   3.0501500e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   1.39038559    0.0101   1.16758   1.09024   3777.15    449.38   3.0602091e+00   1.62652e+16   3.72988e+14   1.36413e+18   3.79608e+16
M   0.0010   500.0   1.39038559    0.0105   1.15503   1.08509   3021.81    286.13   3.0643293e+00   2.64990e+15   3.72908e+14   2.22242e+17   6.18451e+15
M   0.0010   500.0   1.39038559    0.0110   1.15080   1.08320   2783.77    234.59   3.0658394e+00   1.19259e+15   3.72808e+14   1.00020e+17   2.78334e+15
M   0.0010   500.0   1.39038559    0.0120   1.14728   1.08153   2579.37    192.30   3.0671798e+00   5.33454e+14   3.72609e+14   4.47397e+16   1.24501e+15
M   0.0010   500.0   1.39038559    0.0150   1.14375   1.07957   2321.73    147.88   3.0687571e+00   1.83523e+14   3.72014e+14   1.53917e+16   4.28319e+14
M   0.0010   500.0   1.39038559    0.0200   1.14153   1.07830   2165.28    120.89   3.0697833e+00   7.95902e+13   3.71027e+14   6.67507e+15   1.85753e+14
M   0.0010   500.0   1.39038559    0.0300   1.13957   1.07718   2034.26    101.70   3.0706797e+00   3.76138e+13   3.69068e+14   3.15460e+15   8.77856e+13
M   0.0010   500.0   1.39038559    0.0500   1.13796   1.07614   1905.16     84.63   3.0715190e+00   1.58442e+13   3.65145e+14   1.32882e+15   3.69782e+13
M   0.0010   500.0   1.39038559    0.1000   1.13663   1.07517   1786.44     70.40   3.0723040e+00   5.50021e+12   3.55640e+14   4.61292e+14   1.28368e+13
M   0.0010   500.0   1.39038559    0.2000   1.13578   1.07448   1710.13     62.14   3.0728602e+00   1.93737e+12   3.37549e+14   1.62483e+14   4.52155e+12
M   0.0010   500.0   1.39038559    0.5000   1.13512   1.07394   1646.37     55.70   3.0732972e+00   4.23545e+11   2.89411e+14   3.55219e+13   9.88497e+11
M   0.0010   500.0   1.39038559    1.0000   1.13473   1.07362   1607.13     51.85   3.0735562e+00   2.60587e+11   2.22404e+14   2.18549e+13   6.08175e+11
M   0.0010   500.0   1.39038559    2.0000   1.13409   1.07307   1542.87     45.93   3.0739958e+00   2.41843e+11   1.29657e+14   2.02829e+13   5.64428e+11
M   0.0010   500.0   1.39038559    5.0000   1.13252   1.07170   1400.09     33.30   3.0751051e+00   1.81400e+11   2.58567e+13   1.52136e+13   4.23362e+11
M   0.0010   500.0   1.39038559   10.0000   1.13130   1.07063   1281.54     20.61   3.0759818e+00   5.05420e+10   1.81358e+12   4.23886e+12   1.17958e+11
